upstream,mirror_name,tier,public_body,ownership_confidence,default_branch,upstream_archived,size_kb,clone_url,web_url,first_seen,last_seen,last_synced,synced_pushed_at,upstream_pushed_at,status,lfs,fidelity_notes,evidence_url
IrishMarineInstitute/sdc-ld,IrishMarineInstitute.sdc-ld,core,Marine Institute,high,master,false,2,https://github.com/IrishMarineInstitute/sdc-ld.git,https://github.com/IrishMarineInstitute/sdc-ld,2026-08-11,2026-09-04,2026-08-26,2017-03-30T14:05:50Z,2017-03-30T14:05:50Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/search-erddaps,IrishMarineInstitute.search-erddaps,core,Marine Institute,high,master,false,41,https://github.com/IrishMarineInstitute/search-erddaps.git,https://github.com/IrishMarineInstitute/search-erddaps,2026-08-11,2026-09-04,2026-08-26,2023-05-31T15:50:50Z,2023-05-31T15:50:50Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/sensor-observation-service,IrishMarineInstitute.sensor-observation-service,core,Marine Institute,high,master,false,31,https://github.com/IrishMarineInstitute/sensor-observation-service.git,https://github.com/IrishMarineInstitute/sensor-observation-service,2026-08-11,2026-09-04,2026-08-26,2016-01-25T16:07:19Z,2016-01-25T16:07:19Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/shellfish-fisheries,IrishMarineInstitute.shellfish-fisheries,core,Marine Institute,high,main,false,112222,https://github.com/IrishMarineInstitute/shellfish-fisheries.git,https://github.com/IrishMarineInstitute/shellfish-fisheries,2026-08-11,2026-09-04,2026-08-27,2026-04-24T10:14:44Z,2026-04-24T10:14:44Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/shiny-workshop,IrishMarineInstitute.shiny-workshop,core,Marine Institute,high,master,false,0,https://github.com/IrishMarineInstitute/shiny-workshop.git,https://github.com/IrishMarineInstitute/shiny-workshop,2026-08-11,2026-09-04,2026-08-26,2019-02-13T11:08:50Z,2019-02-13T11:08:50Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/simpleWebChart,IrishMarineInstitute.simpleWebChart,core,Marine Institute,high,master,false,168,https://github.com/IrishMarineInstitute/simpleWebChart.git,https://github.com/IrishMarineInstitute/simpleWebChart,2026-08-11,2026-09-04,2026-08-26,2015-03-10T11:10:35Z,2015-03-10T11:10:35Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/smartbay-audio-player,IrishMarineInstitute.smartbay-audio-player,core,Marine Institute,high,master,false,90,https://github.com/IrishMarineInstitute/smartbay-audio-player.git,https://github.com/IrishMarineInstitute/smartbay-audio-player,2026-08-11,2026-09-04,2026-08-26,2018-02-05T16:36:45Z,2018-02-05T16:36:45Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/spaceobsphyto,IrishMarineInstitute.spaceobsphyto,core,Marine Institute,high,master,false,526,https://github.com/IrishMarineInstitute/spaceobsphyto.git,https://github.com/IrishMarineInstitute/spaceobsphyto,2026-08-11,2026-09-04,2026-08-26,2020-07-06T16:04:41Z,2020-07-06T16:04:41Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/species-dashboard,IrishMarineInstitute.species-dashboard,core,Marine Institute,high,master,false,282599,https://github.com/IrishMarineInstitute/species-dashboard.git,https://github.com/IrishMarineInstitute/species-dashboard,2026-08-11,2026-09-04,2026-08-27,2022-05-04T16:00:54Z,2022-05-04T16:00:54Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/speciesdash,IrishMarineInstitute.speciesdash,core,Marine Institute,high,master,false,154757,https://github.com/IrishMarineInstitute/speciesdash.git,https://github.com/IrishMarineInstitute/speciesdash,2026-08-11,2026-09-04,2026-08-27,2026-04-13T13:04:15Z,2026-04-13T13:04:15Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
